Index,Input
287,318
288,258
289,286
290,309
291,301
292,315
293,291
294,337
295,164
296,251
297,395
298,331
299,396
300,367
301,271
302,307
303,312
304,527
305,685
306,821
307,693
308,422
309,589
310,647
311,666
312,765
313,660
314,965
315,610
316,535
317,672
318,652
319,820
320,732
321,599
322,756
323,530
324,673
325,713
326,925
327,955
328,477
329,442
330,687
331,547
332,865
333,592
334,468
335,1010
336,670
337,871
338,422
339,484
340,795
341,363
342,755
343,393
344,437
345,599
346,489
347,675
348,695
349,389
350,687
351,716
352,675
353,503
354,752
355,657
356,592
357,871
358,504
359,483
360,640
361,1010
362,760
363,528
364,611
365,489
366,782
367,529
368,720
369,451
370,542
371,443
372,830
373,637
374,765
375,473
376,722
377,539
378,398
379,806
380,555
381,693
382,747
383,594
384,427
385,640
386,740
387,790
388,690
389,920
390,546
391,472
392,630
393,566
394,512
395,566
396,363
397,599
398,670
399,639
400,469
401,750
402,990
403,960
404,861
405,950
406,766
407,795
408,980
409,825
410,691
411,596
412,414
413,453
414,488
415,456
416,831
417,623
418,598
419,717
420,885
421,681
422,469
423,547
424,648
425,721
426,506
427,751
428,324
429,675
430,751
431,890
432,771
433,427
434,334
435,484
436,885
437,528
438,502
439,870
440,810
441,557
442,635
443,598
444,374
445,483
446,555
447,741
448,444
449,707
450,506
451,477
452,985
453,611
454,626
455,905
456,575
457,417
458,707
459,950
460,369
461,474
462,786
463,772
464,639
465,786
466,449
467,635
468,801
469,598
470,481
471,905
472,866
473,683
474,672
475,742
476,620
477,715
478,881
479,890
480,732
481,514
482,598
483,676
484,504
485,519
486,388
487,549
488,536
489,389
490,428
491,543
492,690
493,587
494,424
495,574
496,671
497,454
498,680
499,554
500,623
501,424
502,642
503,643
504,786
505,685
506,629
507,427
508,712
509,695
510,765
511,960
512,571
513,766
514,540
515,613
516,625
517,950
518,599
519,592
520,850
521,601
522,890
523,447
524,935
525,691
526,801
527,825
528,597
529,524
530,384
531,539
532,363
533,523
534,706
535,439
536,760
537,690
538,610
539,454
540,706
541,612
542,675
543,581
544,688
545,587
546,710
547,648
548,886
549,644
550,493
551,417
552,965
553,649
554,613
555,587
556,618
557,736
558,599
559,672
560,673
561,489
562,627
563,374
564,526
565,1015
566,491
567,383
568,945
569,551
570,513
571,672
572,587
573,805
574,671
575,612
576,602
577,394
578,891
579,890
580,591
581,344
582,787
583,344
584,580
585,820
586,703
587,885
588,955
589,575
590,517
591,398
592,473
593,476
594,369
595,566
596,597
597,716
598,538
599,735
600,985
601,457
602,645
603,456
604,742
605,975
606,554
607,644
608,580
609,547
610,965
611,439
612,935
613,1005
614,453
615,725
616,830
617,636
618,536
619,344
620,461
621,613
622,539
623,559
624,780
625,358
626,663
627,612
628,424
629,690
630,652
631,557
632,940
633,640
634,560
635,624
636,513
637,402
638,690
639,481
640,658
641,677
642,454
643,644
644,502
645,650
646,777
647,493
648,656
649,619
650,701
651,588
652,580
653,553
654,875
655,676
656,801
657,364
658,895
659,1015
660,580
661,486
662,692
663,890
664,419
665,433
666,866
667,696
668,374
669,665
670,527
671,995
672,613
673,810
674,1015
675,574
676,756
677,685
678,506
679,527
680,626
681,801
682,580
683,667
684,512
685,344
686,545
687,530
688,771
689,830
690,886
691,453
692,443
693,502
694,573
695,509
696,796
697,605
698,698
699,697
700,525
701,408
702,960
703,524
704,722
705,800
706,687
707,698
708,735
709,726
710,707
711,623
712,641
713,591
714,676
715,603
716,549
717,747
718,414
719,871
720,1000
721,636
722,572
723,615
724,695
725,981
726,1090
727,1079
728,1073
729,998
730,994
731,1031
732,933
733,877
734,998
735,748
736,769
737,1059
738,854
739,1036
740,754
741,694
742,958
743,842
744,1025
745,1021
746,704
747,1038
748,1050
749,709
750,1048
751,919
752,973
753,948
754,1086
755,914
756,664
757,1051
758,1066
759,763
760,1042
761,1037
762,1059
763,833
764,1028
765,679
766,1044
767,1055
768,922
769,888
770,1096
771,779
772,1073
773,844
774,959
775,1066
776,803
777,1062
778,996
779,971
780,793
781,1077
782,844
783,847
784,1097
785,953
786,1050
787,734
788,1043
789,788
790,1099
791,819
792,1023
793,999
794,1079
795,1077
796,724
797,971
798,1082
799,978
800,1026
801,942
802,1014
803,1041
804,1065
805,1095
806,887
807,857
808,1012
809,1040
810,852
811,1028
812,1008
813,802
814,679
815,931
816,807
817,977
818,869
819,1054
820,847
821,1038
822,1049
823,1094
824,868
825,847
826,1041
827,996
828,921
829,1092
830,719
831,674
832,834
833,1012
834,724
835,857
836,1060
837,1075
838,941
839,1061
840,1099
841,804
842,1009
843,1017
844,812
845,951
846,949
847,838
848,784
849,842
850,1036
851,978
852,969
853,1062
854,913
855,1089
856,759
857,984
858,807
859,979
860,828
861,808
862,829
863,913
864,783
865,1078
866,694
867,883
868,967
869,1086
870,847
871,917
872,1047
873,817
874,1025
875,1014
876,1031
877,982
878,1094
879,897
880,933
881,669
882,694
883,659
884,1098
885,966
886,659
887,1008
888,968
889,884
890,1023
891,976
892,812
893,1014
894,1019
895,1046
896,981
897,814
898,957
899,1013
900,998
901,1038
902,858
903,843
904,1019
905,734
906,981
907,1068
908,937
909,1025
910,1060
911,993
912,1057
913,1034
914,911
915,966
916,833
917,869
918,983
919,694
920,917
921,754
922,1044
923,743
924,976
925,1054
926,932
927,892
928,858
929,784
930,1087
931,1025
932,912
933,1034
934,1087
935,924
936,1042
937,733
938,987
939,819
940,883
941,993
942,679
943,1041
944,723
945,882
946,882
947,972
948,763
949,1056
950,979
951,1046
952,998
953,734
954,784
955,863
956,832
957,888
958,1004
959,1095
960,1060
961,888
962,912
963,689
964,1042
965,1022
966,918
967,909
968,833
969,1072
970,997
971,1029
972,912
973,889
974,709
975,911
976,928
977,858
978,901
979,669
980,1024
981,719
982,1040
983,1073
984,753
985,1054
986,954
987,828
988,1036
989,1066
990,938
991,959
992,704
993,1044
994,1017
995,733
996,733
997,933
998,1018
999,847
1000,1057
1001,952
1002,837
1003,1027
1004,824
1005,1019
1006,1054
1007,874
1008,933
1009,888
1010,808
1011,1078
1012,1073
1013,957
1014,1030
1015,1058
1016,834
1017,1091
1018,664
1019,882
1020,832
1021,1021
1022,1029
1023,988
